clamiter_init_dim_feat,clamiter_init_l1_reg,clamiter_init_s_reg,clamiter_init_dim_attr,clamiter_init_T,feat_opt_lr,feat_opt_n_iter,avg_result,std_result
36,0.01,0.01,500,1,1e-06,10000,0.9594955002752039,0.0017994197927240702
36,0.01,0.1,500,1,1e-06,10000,0.9606077162048162,0.0016318400023952128
36,0.01,1.0,500,1,1e-06,10000,0.9597164806286872,0.0010304144757290364
36,0.1,0.01,500,1,1e-06,10000,0.9621684018921473,0.0012220107862077282
36,0.1,0.1,500,1,1e-06,10000,0.9611046995587954,0.0018223789682949706
36,0.1,1.0,500,1,1e-06,10000,0.9614664010799033,0.001324028562879672
36,1.0,0.01,500,1,1e-06,10000,0.9610234278100785,0.0020869966365555256
36,1.0,0.1,500,1,1e-06,10000,0.9612596627420059,0.0017422533987816497
36,1.0,1.0,500,1,1e-06,10000,0.9619590880708601,0.0023118615035510747
40,0.01,0.01,500,1,1e-06,10000,0.9617629068393826,0.0011279705901319585
40,0.01,0.1,500,1,1e-06,10000,0.9621124028922404,0.0025190589728212843
40,0.01,1.0,500,1,1e-06,10000,0.9615122756498646,0.002370419859080393
40,0.1,0.01,500,1,1e-06,10000,0.961050610117035,0.0018212552620636838
40,0.1,0.1,500,1,1e-06,10000,0.961146231357584,0.0017015127808720461
40,0.1,1.0,500,1,1e-06,10000,0.9604722564544222,0.001379323486738802
40,1.0,0.01,500,1,1e-06,10000,0.9625772187536737,0.001886578053668725
40,1.0,0.1,500,1,1e-06,10000,0.9637754133921334,0.00174743520785022
40,1.0,1.0,500,1,1e-06,10000,0.9624802446800628,0.001723690260942265
46,0.01,0.01,500,1,1e-06,10000,0.9621966373216241,0.0012665177022907319
46,0.01,0.1,500,1,1e-06,10000,0.9618952541963975,0.0019311792688134425
46,0.01,1.0,500,1,1e-06,10000,0.9623028871666829,0.002023422527584451
46,0.1,0.01,500,1,1e-06,10000,0.9638247920415272,0.0022357451979398224
46,0.1,0.1,500,1,1e-06,10000,0.962834835682682,0.0015387933261230388
46,0.1,1.0,500,1,1e-06,10000,0.9629477921265327,0.0019763676089277907
46,1.0,0.01,500,1,1e-06,10000,0.9640351064337179,0.0013048583841253115
46,1.0,0.1,500,1,1e-06,10000,0.9646424610301524,0.0022836038368753823
46,1.0,1.0,500,1,1e-06,10000,0.9641439217938208,0.0014440380839341699
50,0.01,0.01,500,1,1e-06,10000,0.962603825684297,0.0023409208312396555
50,0.01,0.1,500,1,1e-06,10000,0.9627377949657393,0.0022113217029243715
50,0.01,1.0,500,1,1e-06,10000,0.9622793493819174,0.0023737196056212275
50,0.1,0.01,500,1,1e-06,10000,0.9633495169445339,0.0012215144389063678
50,0.1,0.1,500,1,1e-06,10000,0.9628915577304955,0.0011574508971053546
50,0.1,1.0,500,1,1e-06,10000,0.9622956574017884,0.0020139702686026895
50,1.0,0.01,500,1,1e-06,10000,0.9633650277194571,0.00218912180959976
50,1.0,0.1,500,1,1e-06,10000,0.9629439305888958,0.0005933131756799767
50,1.0,1.0,500,1,1e-06,10000,0.9641491593922398,0.002137021494607946
56,0.01,0.01,500,1,1e-06,10000,0.9640402450307254,0.0010746628635811715
56,0.01,0.1,500,1,1e-06,10000,0.9637739651431415,0.0009615783332096086
56,0.01,1.0,500,1,1e-06,10000,0.9646893853120839,0.0017263787722416938
56,0.1,0.01,500,1,1e-06,10000,0.9635767892822645,0.0017042745803615739
56,0.1,0.1,500,1,1e-06,10000,0.9628116805640089,0.0013718504344885673
56,0.1,1.0,500,1,1e-06,10000,0.9628543173904869,0.001560972217568468
56,1.0,0.01,500,1,1e-06,10000,0.964478934119446,0.003157319148505366
56,1.0,0.1,500,1,1e-06,10000,0.9639107848419335,0.0014101565480653198
56,1.0,1.0,500,1,1e-06,10000,0.9644036144327927,0.0009103934695256717
60,0.01,0.01,500,1,1e-06,10000,0.9635261923561423,0.0017681752446735749
60,0.01,0.1,500,1,1e-06,10000,0.9649063114014659,0.0017537033116334037
60,0.01,1.0,500,1,1e-06,10000,0.9629429653090549,0.0020797092610310565
60,0.1,0.01,500,1,1e-06,10000,0.963773597978344,0.0019850107578156116
60,0.1,0.1,500,1,1e-06,10000,0.9635750180384095,0.0017852266654117433
60,0.1,1.0,500,1,1e-06,10000,0.9635253167174519,0.0025250566159136477
60,1.0,0.01,500,1,1e-06,10000,0.9637784588244466,0.0013520156073792335
60,1.0,0.1,500,1,1e-06,10000,0.9645223971541755,0.001154714947016467
60,1.0,1.0,500,1,1e-06,10000,0.9650063809844385,0.0023833274072452776
66,0.01,0.01,500,1,1e-06,10000,0.9640372575954202,0.0010943510801755224
66,0.01,0.1,500,1,1e-06,10000,0.964471942602321,0.0013260002946850463
66,0.01,1.0,500,1,1e-06,10000,0.9630839758148548,0.001739953569270746
66,0.1,0.01,500,1,1e-06,10000,0.9643084804236007,0.0015402475619636991
66,0.1,0.1,500,1,1e-06,10000,0.9652271937770777,0.0017402103037639021
66,0.1,1.0,500,1,1e-06,10000,0.9649704639706487,0.0020347139738788114
66,1.0,0.01,500,1,1e-06,10000,0.9642894592183295,0.002050754739114552
66,1.0,0.1,500,1,1e-06,10000,0.9654141657845955,0.0009530642048970457
66,1.0,1.0,500,1,1e-06,10000,0.9651959493741039,0.0012594158028112737
70,0.01,0.01,500,1,1e-06,10000,0.9649098022886623,0.0007707903674789949
70,0.01,0.1,500,1,1e-06,10000,0.9645061112168366,0.0011912699459016478
70,0.01,1.0,500,1,1e-06,10000,0.9648949797822465,0.0025530502496428895
70,0.1,0.01,500,1,1e-06,10000,0.9649030295646889,0.0024028080492393333
70,0.1,0.1,500,1,1e-06,10000,0.9649578662067358,0.0019260275009522754
70,0.1,1.0,500,1,1e-06,10000,0.9648213077880813,0.001988370561736676
70,1.0,0.01,500,1,1e-06,10000,0.9647659058423769,0.001840521197178129
70,1.0,0.1,500,1,1e-06,10000,0.9653129082242394,0.0008712596890806533
70,1.0,1.0,500,1,1e-06,10000,0.9655139820852144,0.0008399183522330089
76,0.01,1.0,500,1,1e-06,10000,0.9665396901204849,0.001543526757649045
76,0.1,0.01,500,1,1e-06,10000,0.9656856669807338,0.0015816565947999665
76,0.1,0.1,500,1,1e-06,10000,0.9654746695507582,0.0008861277451512676
76,0.1,1.0,500,1,1e-06,10000,0.9654957216711962,0.0009336937051002373
76,1.0,0.01,500,1,1e-06,10000,0.9665842204646308,0.0007957938828347864
76,1.0,0.1,500,1,1e-06,10000,0.9651522331021588,0.0019918364329604365
76,1.0,1.0,500,1,1e-06,10000,0.9655873842238359,0.00220406635630797
